politician_id	parliament_num	ed_id	pref_votes	date_member_from	date_member_to	elected_party_id	current_party_id	duration_days
A-R-M-Abdul-Cader	14	KAN	54937	2010-04-22	2015-06-26	UNP		1891
A-S-P-Don	11	GAM	52416	2000-10-18	2001-10-10	PA	PA	357
A-Thangathurai	10	TRI	22409	1994-08-25	1997-07-05			1045
A-Vinayagamoorthy	14	JAF	15311	2010-04-22	2015-06-26			1891
Abdul-Baiz-Kamardeen	13	NAT		2004-04-22	2010-02-09	UNF	UPFA	2119
Abdul-Cader-Shahul-Hameed	10	KAN	61906	1994-08-25	1999-09-03	UNP	UNP	1835
Abdul-Majeed-Mohamed-Najeeb	10	TRI	21590	1994-08-25	2000-08-18		PA	2185
Abdul-Rahuman-Izak	15	ANU	44626	2015-09-01		ACMC	ACMC	
Abdul-Rasak-Mansoor	9	NAT		1989-03-09	1994-06-24	UNP	UNP	1933
Abeydheera-Hary	9	HAM	5699	1989-03-09	1994-06-24	UNP	UNP	1933
Abeyweera-Sumithra-Priyanganie	9	KAL	51494	1989-03-09	1994-06-24			1933
Abeyweera-Sumithra-Priyanganie	10	KAL	85661	1994-08-25	2000-08-18	PA	PA	2185
Abu-Bakaar	9	VAN	5355	1989-03-09	1994-06-24			1933
Achala-Jagodage	12	RAT	2617	2001-12-19	2004-02-07			780
Achala-Jagodage	13	RAT	97083	2004-04-22	2010-02-09	UPFA	UPFA	2119
Achala-Jagodage	14	NAT		2010-04-22	2015-06-26	NFF		1891
Ahamed-Nazeer-Zainulabdeen	16	BAT	17599	2020-08-20	2023-10-06	SLMC	SLMC	1142
Aithurus-M-Illias	10	JAF	1575	1994-08-25	2000-08-18		PA	2185
Ajantha-de-Soyza	12	NAT		2001-12-19	2004-02-07	PA	PA	780
Ajith-Gihan	17	"PUT
"	58183	2024-11-21		"NPP
"	NPP	
Ajith-Kumara	13	GAL	128060	2004-04-22	2010-02-09	UPFA		2119
Ajith-Kumara	14	GAL	15872	2010-04-22	2015-06-26	JVP	Ind	1891
Ajith-Mannapperuma	14	GAM	44812	2013-06-04	2015-06-26	UNP	UNP	752
Ajith-Mannapperuma	15	GAM	113889	2015-09-01		UNP	UNP	
Ajith-Mannapperuma	16	GAM		2021-04-09		SJB	SJB	
Ajith-Nivard-Cabraal	16	NAT		2020-08-20	2021-09-13	SLPP	SLPP	389
Ajith-Perera	14	KAL	48588	2010-04-22	2015-06-26	UNP	UNP	1891
Ajith-Perera	15	KAL	131383	2015-09-01		UNP	UNP	
Ajith-Perera	17	"KAL
"	43975	2024-11-21		"SJB
"	SJB	
Ajith-Priyadarshana	17	"MON
"	54044	2024-11-21		"NPP
"	NPP	
Ajith-Rajapakse	16	HAM	47375	2020-08-20		SLPP	SLPP	
Akila-Ellawala	16	RAT	71179	2020-08-20		SLPP	SLPP	
Akila-Viraj-Kariyawasam	13	KUR	83114	2004-04-22	2010-02-09	UNF	UNF	2119
Akila-Viraj-Kariyawasam	14	KUR	66477	2010-04-22	2015-06-26	UNP	UNP	1891
Akila-Viraj-Kariyawasam	15	KUR	286155	2015-09-01		UNP	UNP	
Akmeemana-Dayarathana	13	COL	10220	2004-06-08	2010-02-09		UPFA	2072
Akram-Ilyas	17	"MTR
"	53835	2024-11-21		"NPP
"	NPP	
Alagaiah-Rasamanickam	10	JAF	1110	1994-08-25	2000-08-18	IND	PA	2185
Alankarage-Victor-Suraweera	10	GAM	50740	1994-08-25	2000-08-18	PA	PA	2185
Alathipody-Gunaseelan	9	BAT	22889	1989-03-09		IND	IND	
Alavi-Mowlana	11	NAT		2000-10-18	2001-10-10	PA	PA	357
Alawwe-Nandaloka	13	GAM	5829	2004-11-17	2010-02-09		UPFA	1910
Alec-Robertson	9	NAT		1989-03-09	1994-06-24	UNP	UNP	1933
Ali-Ameer	13	BAT	21232	2004-04-22	2010-02-09		UPFA	2119
Ali-Sabri-Raheem	16	PUT	33509	2020-08-20		ACMC	ACMC	
Ali-Sabry	16	NAT		2020-08-20		SLPP	SLPP	
Alick-Aluvihare	9	MTL	31004	1989-03-09	1994-06-24	UNP	UNP	1933
Alick-Aluvihare	10	MTL	61526	1994-08-25	2000-08-18	UNP	UNP	2185
Alick-Aluvihare	11	MTL	60419	2000-10-18	2001-10-10	UNP	UNP	357
Alick-Aluvihare	12	MTL	75620	2001-12-19	2004-02-07	UNF	UNF	780
Alick-Aluvihare	13	MTL	39649	2004-04-22	2009-05-17	UNF	UNF	1851
Amal-Senalankadikara	10	COL	54321	1994-08-25	2000-08-18	PA	PA	2185
Amara-Piyaseeli-Ratnayake	9	KUR	58426	1989-03-09	1994-06-24	UNP	UNP	1933
Amara-Piyaseeli-Ratnayake	10	KUR	53421	1994-08-25	2000-08-18	UNP	UNP	2185
Amara-Piyaseeli-Ratnayake	11	KUR	51498	2000-10-18	2001-10-10	UNP	UNP	357
Amara-Piyaseeli-Ratnayake	12	KUR	50963	2001-12-19	2004-02-07	UNF	UNF	780
Amara-Piyaseeli-Ratnayake	13	KUR	46725	2004-04-22	2010-02-09	UNF	UNF	2119
Amarakeerthi-Athukorala	16	POL	45939	2020-08-20	2022-05-09	SLPP	SLPP	627
Amarakone-Chandra-Karunaratne	9	BAD	20026	1989-03-09	1994-06-24	UNP	UNP	1933
Amarasiri-Dodangoda	9	GAL	66431	1989-03-09	1994-06-24			1933
Amarasiri-Dodangoda	10	GAL	176151	1994-08-25	2000-08-18	PA	PA	2185
Amarasiri-Dodangoda	11	GAL	89149	2000-10-18	2001-10-10	PA	PA	357
Amarasiri-Dodangoda	12	GAL	78697	2001-12-19	2004-02-07	PA	PA	780
Amarasiri-Dodangoda	13	GAL	60282	2004-04-22	2009-05-30	UPFA	UPFA	1864
Ambika-Samuel	17	"BAD
"	58201	2024-11-21		"NPP
"	NPP	
Ameer-Ali	14	NAT		2014-12-12	2015-06-26	ACMC	ACMC	196
Ameer-Ali	15	BAT	16611	2015-09-01		ACMC	ACMC	
Amila-Prasad	17	"GAM
"	23699	2024-11-21		"SJB
"	SJB	
Amirthanathan-Adaikalanathan	17	"VAN
"	5695	2024-11-21		"DTNA
"	DTNA	
Amith-Thenuka-Vidanagamage	14	BAD	34742	2010-04-22	2015-06-26	SLFP	SLFP	1891
Amith-Thenuka-Vidanagamage	15	BAD	43517	2015-09-01		SLFP	SLPP	
Amith-Thenuka-Vidanagamage	16	BAD	68338	2020-08-20		SLPP	SLPP	
Ananda-Abeywickrama	12	GAL	50772	2001-12-19	2004-02-07	UNF	UNF	780
Ananda-Aluthgamage	15	KAN	56625	2015-09-01		UNP	SLPP	
Ananda-Kularathne	9	HAM	9470	1989-03-09	1994-06-24	UNP	UNP	1933
Ananda-Kularathne	10	HAM	36965	1994-08-25	2000-08-18	UNP	UNP	2185
Ananda-Kularathne	11	HAM	27618	2000-10-18	2001-10-10	UNP	UNP	357
Ananda-Kularathne	12	HAM	24811	2001-12-19	2004-02-07	UNF	UNF	780
Ananda-Kumarasiri	11	MON	36487	2000-10-18	2001-10-10	UNP	UNP	357
Ananda-Kumarasiri	12	MON	37567	2001-12-19	2004-02-07	UNF	UNF	780
Ananda-Kumarasiri	15	MON	44007	2015-09-01		UNP	UNP	
Ananda-Lakshman-Wijemanna	12	KAL	45766	2001-12-19	2004-02-07	UNF	UNF	780
Ananda-Lakshman-Wijemanna	13	KAL	37147	2009-08-06	2010-02-09	UNF	UNF	187
Ananda-Moonesinghe	11	GAM	48863	2000-10-18	2001-10-10	PA	UNP	357
Ananda-Sarath-Kumara	12	POL	40381	2001-12-19	2004-02-07	PA	PA	780
Ananda-Wijeyapala	17	"KUR
"	133142	2024-11-21		"NPP
"	NPP	
Angajan-Ramanathan	15	NAT		2015-09-01		SLFP	SLFP	
Angajan-Ramanathan	16	JAF	36365	2020-08-20		SLFP	SLFP	
Anil-Jayantha	17	"GAM
"	162433	2024-11-21		"NPP
"	NPP	
Anil-Moonesinghe	9	KAL	40320	1989-03-09	1994-06-24			1933
Anil-Moonesinghe	10	KAL	56071	1994-08-25	2000-08-18	PA	PA	2185
Anjan-Umma	11	NAT		2000-10-18	2001-10-10			357
Anjan-Umma	12	GAM	10834	2001-12-19	2004-02-07			780
Anjan-Umma	13	GAM	111755	2004-04-22	2010-02-09	UPFA	UPFA	2119
Ankumbura-Withanage	16	RAT	60426	2020-08-20		SJB	SJB	
Anoma-Gamage	14	NAT		2010-04-22	2015-06-26	UNP	UNP	1891
Anoma-Gamage	15	NAT		2015-09-01		UNP	UNP	
Anthony-Emmanuel-Silva	9	VAN	6385	1989-03-09	1994-06-24	TULF	TULF	1933
Anton-Jayakody	17	"PUT
"	43907	2024-11-21		"NPP
"	NPP	
Anupa-Pasqual	16	KAL	97777	2020-08-20		SLPP	SLPP	
Anura-Bandaranaike	9	GAM	107177	1989-03-09	1994-06-24		UNP	1933
Anura-Bandaranaike	10	NAT		1994-08-25	2000-08-18	UNP	UNP	2185
Anura-Bandaranaike	11	GAM	99536	2000-10-18	2001-10-10	UNP	UNP	357
Anura-Bandaranaike	12	GAM	262051	2001-12-19	2004-02-07	PA	PA	780
Anura-Bandaranaike	13	GAM	198444	2004-04-22	2008-03-16	UPFA	UPFA	1424
Anura-Gopallawa	12	KUR	48672	2001-12-19	2004-02-07	UNF	UNF	780
Anura-Kumara-Dissanayake	11	NAT		2000-10-18	2001-10-10			357
Anura-Kumara-Dissanayake	12	NAT		2001-12-19	2004-02-07			780
Anura-Kumara-Dissanayake	13	KUR	153868	2004-04-22	2010-02-09	UPFA		2119
Anura-Kumara-Dissanayake	14	NAT		2010-04-22	2015-06-26	JVP	JVP	1891
Anura-Kumara-Dissanayake	15	COL	65966	2015-09-01		JVP	JVP	
Anura-Kumara-Dissanayake	16	COL	49814	2020-08-20	2024-09-23	JVP	JVP	1495
Anura-Pradeep-Hapangama	9	GAM	47550	1989-03-09	1994-06-24			1933
Anura-Pradeep-Hapangama	10	GAM	62829	1994-08-25	2000-08-18	UNP	UNP	2185
Anura-Priyadharshana-Yapa	10	KUR	57127	1994-08-25	2000-08-18	PA	PA	2185
Anura-Priyadharshana-Yapa	11	KUR	60479	2000-10-18	2001-10-10	PA	PA	357
Anura-Priyadharshana-Yapa	12	KUR	67717	2001-12-19	2004-02-07	PA	PA	780
Anura-Priyadharshana-Yapa	13	KUR	65724	2004-04-22	2010-02-09	UPFA	UPFA	2119
Anura-Priyadharshana-Yapa	14	KUR	98880	2010-04-22	2015-06-26	SLFP	SLFP	1891
Anura-Priyadharshana-Yapa	15	KUR	77057	2015-09-01		SLFP	SLPP	
Anura-Priyadharshana-Yapa	16	KUR	59696	2020-08-20		SLPP	Ind	
Anuradha-Jayaratne	15	KAN	93567	2015-09-01		SLFP	SLFP	
Anuradha-Jayaratne	16	KAN	140798	2020-08-20		SLPP	SLPP	
Anuradha-Jayaratne	17	"KAN
"	20749	2024-11-21		"NDF
"	NDF	
Anuruddha-Polgampala	13	KEG	84981	2004-04-22	2008-09-03	UPFA		1595
Anuruddha-Ratwatte	10	KAN	92644	1994-08-25	2000-08-18	PA	PA	2185
Anuruddha-Ratwatte	11	KAN	152511	2000-10-18	2001-10-10	PA	PA	357
Anuruddha-Ratwatte	12	KAN	102906	2001-12-19	2004-02-07	PA	PA	780
Anushka-Thilakarathne	17	"NUW
"	34035	2024-11-21		"NPP
"	NPP	
Aparekke-Punnananda	13	GAM	7389	2004-04-22	2010-02-09		UPFA	2119
Appapillai-Amirthalingam	9	NAT		1989-03-09	1989-07-13	TULF	TULF	126
Appathurai-Vinayagamoorthy	11	JAF	3825	2000-10-18	2001-10-10			357
Appathurai-Vinayagamoorthy	12	JAF	19472	2001-12-19	2004-02-07	TNA	TNA	780
Arachchige-Jinadasa-Niyathapala	9	COL	67801	1989-03-09	1994-06-24			1933
Arachchilage-Jagath-Balasooriya	9	KEG	23088	1989-03-09	1994-06-24			1933
Arachchilage-Jagath-Balasooriya	10	KEG	59017	1994-08-25	2000-08-18	PA	PA	2185
Arachchilage-Jagath-Balasooriya	11	KEG	45862	2000-10-18	2001-10-10	PA	PA	357
Aravinda-Vitharana	17	"HAM
"	48807	2024-11-21		"NPP
"	NPP	
Ariya-Bandara-Rekawa	9	KUR	42874	1989-03-09	1994-06-24	UNP	UNP	1933
Ariyarathna-Jayathilaka	9	GAM	39893	1989-03-09	1994-06-24	UNP	UNP	1933
Arjuna-Ranatunga	12	COL	97409	2001-12-19	2004-02-07	PA	PA	780
Arjuna-Ranatunga	13	COL	81914	2004-04-22	2010-02-09	UPFA	UPFA	2119
Arjuna-Ranatunga	14	KAL	27796	2010-04-22	2015-06-26		SLFP	1891
Arjuna-Ranatunga	15	GAM	165890	2015-09-01		DNM	DNM	
Arumugam-Jegadishwaran	17	"VAN
"	9280	2024-11-21		"NPP
"	NPP	
Arumugan-Thondaman	10	NUW	75297	1994-08-25	2000-08-18	UNP	PA	2185
Arumugan-Thondaman	11	NUW	61779	2000-10-18	2001-10-10	PA		357
Arumugan-Thondaman	12	NUW	121542	2001-12-19	2004-02-07	UNF	UNF	780
Arumugan-Thondaman	13	NUW	99783	2004-04-22	2010-02-09	UNF	UPFA	2119
Arumugan-Thondaman	14	NUW	60997	2010-04-22	2015-06-26	CWC	CWC	1891
Arumugan-Thondaman	15	NUW	61897	2015-09-01		CWC	CWC	
Arun-Hemachandra	17	"TRI
"	38368	2024-11-21		"NPP
"	NPP	
Aruna-Panagoda	17	"COL
"	91081	2024-11-21		"NPP
"	NPP	
Arunasalam-Ponniah-Selliah	9	JAF	20747	1989-03-09	1994-06-24	IND	IND	1933
Arundika-Fernando	14	PUT	55889	2010-04-22	2015-06-26	SLFP	SLFP	1891
Arundika-Fernando	15	PUT	47118	2015-09-01		SLFP	SLPP	
Arundika-Fernando	16	PUT	70892	2020-08-20		SLPP	SLPP	
Asanka-Navarathna	16	KUR	82779	2020-08-20		SLMP	SLMP	
Asanka-Shehan-Semasinghe	14	ANU	46115	2010-04-22	2015-06-26	SLFP	SLFP	1891
Asanka-Shehan-Semasinghe	15	ANU	64865	2015-09-01		SLFP	SLPP	
Asanka-Shehan-Semasinghe	16	ANU	119878	2020-08-20		SLPP	SLPP	
Ashley-Soundranayagam	11	BAT	16542	2000-10-18	2000-11-07			20
Ashoka-Abeysinghe	14	KUR	32990	2010-04-22	2015-06-26	UNP	UNP	1891
Ashoka-Abeysinghe	15	KUR	73184	2015-09-01		UNP	UNP	
Ashoka-Abeysinghe	16	KUR	54512	2020-08-20		SJB	SJB	
Ashoka-Gunasena	17	"KUR
"	72216	2024-11-21		"NPP
"	NPP	
Ashoka-Priyantha	15	PUT	35418	2015-09-01		UNP	UNP	
Ashoka-Priyantha	16	PUT	41612	2020-08-20		SLPP	SLPP	
Ashoka-Ranwala	17	"GAM
"	109332	2024-11-21		"NPP
"	NPP	
Asitha-Niroshana	17	"COL
"	78990	2024-11-21		"NPP
"	NPP	
Asoka-Jayawardena	12	RAT	37442	2001-12-19	2004-02-07	PA	PA	780
Asoka-Wadigamangawa	9	PUT	56696	1989-03-09	1994-06-24	UNP	UNP	1933
Asoka-Wadigamangawa	10	PUT	47003	1994-08-25	2000-08-18	UNP	UNP	2185
Asoka-Weerasinghe-de-Silva	10	GAL	45022	1994-08-25	2000-08-18	PA	PA	2185
Athauda-Senewiratne	9	KEG	10792	1989-03-09	1994-06-24	USA	USA	1933
Athauda-Senewiratne	10	KEG	50775	1994-08-25	2000-08-18	PA	PA	2185
Athauda-Senewiratne	11	KEG	76510	2000-10-18	2001-10-10	PA	PA	357
Athauda-Senewiratne	12	KEG	56299	2001-12-19	2004-02-07	PA	PA	780
Athauda-Senewiratne	13	KEG	53892	2004-04-22	2010-02-09	UPFA	UPFA	2119
Athauda-Senewiratne	14	KEG	67719	2010-04-22	2015-06-26	SLFP	SLFP	1891
Athaullah-A-L-M	11	AMP	75647	2000-10-18	2001-10-10	PA		357
Athaullah-A-L-M	12	AMP	35523	2001-12-19	2004-02-07		UNF	780
Athula-Hewage	17	"HAM
"	73198	2024-11-21		"NPP
"	NPP	
Athula-Indika-Weerakoon	11	GAL	2664	2000-10-18	2001-10-10			357
Athula-Indika-Weerakoon	12	GAL	2938	2001-12-19	2004-02-07			780
Athula-Kularatne-Attygale	9	RAT	39809	1989-03-09	1994-06-24	UNP	UNP	1933
Athula-Nimalasiri-Jayasinghe	10	GAM	65623	1994-08-25	2000-08-18	PA	PA	2185
Athula-Nimalasiri-Jayasinghe	12	NAT		2001-12-19	2004-02-07	PA	PA	780
Athuraliye-Rathana-Thero	13	KAL	10772	2004-04-22	2010-02-09		UPFA	2119
Athuraliye-Rathana-Thero	14	GAM	112010	2010-04-22	2015-06-26	JHU	JHU	1891
Athuraliye-Rathana-Thero	15	NAT		2015-09-01		JHU	Ind	
Athuraliye-Rathana-Thero	16	NAT		2021-01-05		OPPP	OPPP	
B-A-P-Lionel	10	GAM	57091	1994-08-25	2000-08-18	PA	PA	2185
B-L-Premachandra	9	KUR	68562	1989-03-09	1994-06-24	UNP	UNP	1933
B-L-Premachandra	11	COL	62237	2000-10-18	2001-10-10	PA	PA	357
Baddegama-Samitha	12	GAL	42120	2001-12-19	2004-02-07	PA	PA	780
Bandula-Basnayake	10	KUR	56609	1994-08-25	2000-08-18	PA	PA	2185
Bandula-Basnayake	13	KUR	52099	2004-04-22	2010-02-09	UPFA	UPFA	2119
Bandula-Gunawardena	9	COL	50861	1989-03-09	1994-06-24			1933
Bandula-Gunawardena	11	COL	70537	2000-10-18	2001-10-10	PA	UNP	357
Bandula-Gunawardena	12	COL	66516	2001-12-19	2004-02-07	UNF	UNF	780
Bandula-Gunawardena	13	COL	57460	2004-04-22	2010-02-09	UNF	UPFA	2119
Bandula-Gunawardena	14	COL	64654	2010-04-22	2015-06-26	UNP (D)		1891
Bandula-Gunawardena	15	COL	96057	2015-09-01		SLFP	SLFP	
Bandula-Gunawardena	16	COL	96057	2020-08-20		SLPP	SLPP	
Bandula-Lal-Bandarigoda	15	GAL	66978	2015-09-01		UNP	UNP	
Bandula-Lal-Bandarigoda	16	GAL		2024-08-21		SJB	SJB	
Bandula-Yalegama	12	MTL	35450	2001-12-19	2004-02-07	PA	PA	780
Basheer-Segu-Dawood	9	BAT			1994-06-24	IND	IND	
Basheer-Segu-Dawood	11	NAT		2000-10-18	2001-10-10	NUA		357
Basheer-Segu-Dawood	12	NAT		2001-12-19	2004-02-07	UNF	UNF	780
Basheer-Segu-Dawood	13	NAT		2004-07-20	2008-04-02	UNF	UNF	1352
Basheer-Segu-Dawood	14	BAT	11678	2010-04-22	2015-06-26	SLMC	SLMC	1891
Basil-Rajapaksa	13	NAT		2007-09-19	2010-02-09	UPFA	UPFA	874
Basil-Rajapaksa	14	GAM	425861	2010-04-22	2015-06-26	SLFP	SLFP	1891
Basil-Rajapaksa	16	NAT		2021-07-08	2022-06-09	SLPP	SLPP	336
Basooriyage-Ariyawansa	17	"RAT
"	26760	2024-11-21		"SJB
"	SJB	
Batty-Weerakoon	11	NAT		2000-10-18	2001-10-10	PA	PA	357
Bernard-Soysa	10	COL	50872	1994-08-25	1997-12-30	PA	PA	1223
Berty-Premalal-Dissanayake	9	ANU	16220	1989-03-09	1994-06-24			1933
Berty-Premalal-Dissanayake	10	ANU	78792	1994-08-25	2000-08-18	PA	PA	2185
Bhagya-Sri-Herath	17	"ANU
"	63551	2024-11-21		"NPP
"	NPP	
Bharatha-Lazman-Premachandra	10	COL	63421	1994-08-25	2000-08-18	PA	PA	2185
Bharatha-Lazman-Premachandra	12	COL	61530	2001-12-19	2004-02-07	PA	PA	780
Bimal-Rathnayaka	12	KUR	4240	2001-12-19	2004-02-07			780
Bimal-Rathnayaka	13	KUR	116736	2004-04-22	2010-02-09	UPFA		2119
Bimal-Rathnayaka	15	NAT		2015-09-22		JVP	JVP	
Buddhika-Kurukularatne	9	GAL	24010	1989-03-09	1994-06-24	UNP	UNP	1933
Buddhika-Pathirana	14	MTR	62499	2010-04-22	2015-06-26	UNP	UNP	1891
Buddhika-Pathirana	15	MTR	98815	2015-09-01		UNP	UNP	
Buddhika-Pathirana	16	MTR	44889	2020-08-20		SJB	SJB	
C-A-Marasinghe	15	NAT		2015-09-01		UNP	UNP	
C-A-Suriyaarachchi	9	POL	11318	1989-03-09	1994-06-24	UNP	UNP	1933
C-A-Suriyaarachchi	13	POL	37983	2004-04-22	2010-02-09	UNF	UPFA	2119
C-A-Suriyaarachchi	14	POL	44356	2010-04-22	2015-06-26	UNP (D)		1891
C-B-Rathnayake	10	NUW	38092	1994-08-25	2000-08-18	PA	PA	2185
C-B-Rathnayake	12	NUW	49673	2001-12-19	2004-02-07	PA	PA	780
C-B-Rathnayake	13	NUW	55284	2004-04-22	2010-02-09	UPFA	UPFA	2119
C-B-Rathnayake	14	NUW	41345	2010-04-22	2015-06-26	SLFP	SLFP	1891
C-B-Rathnayake	15	NUW	45649	2015-09-01		SLFP	SLPP	
C-B-Rathnayake	16	NUW	70781	2020-08-20		SLPP	SLPP	
C-V-Gunaratne	9	COL	60603	1989-03-09	1994-06-24			1933
C-V-Gunaratne	10	COL	114756	1994-08-25	2000-06-07	PA	PA	2113
C-V-Vigneswaran	16	JAF	21554	2020-08-20		TPA	TPA	
Cader-Cader-Masthan	15	VAN	7298	2015-09-01		SLFP	SLFP	
Caluwadevage-Nanda-Matthew	9	RAT	43307	1989-03-09	1994-06-24	UNP	UNP	1933
Cassim-Faizal	13	AMP	20724	2004-04-22	2010-02-09		UNF	2119
Cassim-Faizal	14	AMP	41852	2010-04-22	2015-06-26	SLMC	SLMC	1891
Cassim-Faizal	15	AMP	61401	2015-09-01		SLMC	SLMC	
Cassim-Faizal	16	AMP	29423	2020-08-20		SLMC	SLMC	
Chamal-Rajapaksa	9	HAM	10342	1989-03-09	1994-06-24			1933
