id	full_name	wiki_page	dob	dod	gender
Ali-Sabry	Ali Sabry				
Alick-Aluvihare	Alick Aluvihare				
Amal-Senalankadikara	Amal Senalankadikara				
Amara-Piyaseeli-Ratnayake	Amara Piyaseeli Ratnayake				
Amarakeerthi-Athukorala	Amarakeerthi Athukorala				
Amarakone-Chandra-Karunaratne	Amarakone Chandra Karunaratne				
Amarasiri-Dodangoda	Amarasiri Dodangoda				
Ambika-Samuel	Ambika Samuel				
Ameer-Ali	Ameer Ali				
Amila-Prasad	Amila Prasad				
Amirthanathan-Adaikalanathan	Amirthanathan Adaikalanathan				
Amith-Thenuka-Vidanagamage	Amith Thenuka Vidanagamage				
Ananda-Abeywickrama	Ananda Abeywickrama				
Ananda-Aluthgamage	Ananda Aluthgamage				
Ananda-Kularathne	Ananda Kularathne				
Ananda-Kumarasiri	Ananda Kumarasiri				
Ananda-Lakshman-Wijemanna	Ananda Lakshman Wijemanna				
Ananda-Moonesinghe	Ananda Moonesinghe				
Ananda-Sarath-Kumara	Ananda Sarath Kumara				
Ananda-Wijeyapala	Ananda Wijeyapala				
Angajan-Ramanathan	Angajan Ramanathan				
Anil-Jayantha	Anil Jayantha				
Anil-Moonesinghe	Anil Moonesinghe				
Anjan-Umma	Anjan Umma				
Ankumbura-Withanage	Ankumbura Withanage				
Anoma-Gamage	Anoma Gamage				
Anthony-Emmanuel-Silva	Anthony Emmanuel Silva				
Anton-Jayakody	Anton Jayakody				
Anupa-Pasqual	Anupa Pasqual				
Anura-Bandaranaike	Anura Bandaranaike				
Anura-Gopallawa	Anura Gopallawa				
Anura-Kumara-Dissanayake	Anura Kumara Dissanayake				
Anura-Pradeep-Hapangama	Anura Pradeep Hapangama				
Anura-Priyadharshana-Yapa	Anura Priyadharshana Yapa				
Anuradha-Jayaratne	Anuradha Jayaratne				
Anuruddha-Polgampala	Anuruddha Polgampala				
Anuruddha-Ratwatte	Anuruddha Ratwatte				
Anushka-Thilakarathne	Anushka Thilakarathne				
Aparekke-Punnananda	Aparekke Punnananda				
Appapillai-Amirthalingam	Appapillai Amirthalingam				
Appathurai-Vinayagamoorthy	Appathurai Vinayagamoorthy				
Arachchige-Jinadasa-Niyathapala	Arachchige Jinadasa Niyathapala				
Arachchilage-Jagath-Balasooriya	Arachchilage Jagath Balasooriya				
Aravinda-Vitharana	Aravinda Vitharana				
Ariya-Bandara-Rekawa	Ariya Bandara Rekawa				
Ariyarathna-Jayathilaka	Ariyarathna Jayathilaka				
Arjuna-Ranatunga	Arjuna Ranatunga				
Arumugam-Jegadishwaran	Arumugam Jegadishwaran				
Arumugan-Thondaman	Arumugan Thondaman				
Arun-Hemachandra	Arun Hemachandra				
Aruna-Panagoda	Aruna Panagoda				
Arunasalam-Ponniah-Selliah	Arunasalam Ponniah Selliah				
Arundika-Fernando	Arundika Fernando				
Asanka-Navarathna	Asanka Navarathna				
Asanka-Shehan-Semasinghe	Asanka Shehan Semasinghe				
Ashley-Soundranayagam	Ashley Soundranayagam				
Ashoka-Abeysinghe	Ashoka Abeysinghe				
Ashoka-Gunasena	Ashoka Gunasena				
Ashoka-Priyantha	Ashoka Priyantha				
Ashoka-Ranwala	Ashoka Ranwala				
Asitha-Niroshana	Asitha Niroshana				
Asoka-Jayawardena	Asoka Jayawardena				
Asoka-Wadigamangawa	Asoka Wadigamangawa				
Asoka-Weerasinghe-de-Silva	Asoka Weerasinghe de Silva				
Athauda-Senewiratne	Athauda Senewiratne				
Athaullah-A-L-M	Athaullah A L M				
Athula-Hewage	Athula Hewage				
Athula-Indika-Weerakoon	Athula Indika Weerakoon				
Athula-Kularatne-Attygale	Athula Kularatne Attygale				
Athula-Nimalasiri-Jayasinghe	Athula Nimalasiri Jayasinghe				
Athuraliye-Rathana-Thero	Athuraliye Rathana Thero				
B-A-P-Lionel	B A P Lionel				
B-L-Premachandra	B L Premachandra				
Baddegama-Samitha	Baddegama Samitha				
Bandula-Basnayake	Bandula Basnayake				
Bandula-Gunawardena	Bandula Gunawardena				
Bandula-Lal-Bandarigoda	Bandula Lal Bandarigoda				
Bandula-Yalegama	Bandula Yalegama				
Basheer-Segu-Dawood	Basheer Segu Dawood				
Basil-Rajapaksa	Basil Rajapaksa				
Basooriyage-Ariyawansa	Basooriyage Ariyawansa				
Batty-Weerakoon	Batty Weerakoon				
Bernard-Soysa	Bernard Soysa				
Berty-Premalal-Dissanayake	Berty Premalal Dissanayake				
Bhagya-Sri-Herath	Bhagya Sri Herath				
Bharatha-Lazman-Premachandra	Bharatha Lazman Premachandra				
Bimal-Rathnayaka	Bimal Rathnayaka				
Buddhika-Kurukularatne	Buddhika Kurukularatne				
Buddhika-Pathirana	Buddhika Pathirana				
C-A-Marasinghe	C A Marasinghe				
C-A-Suriyaarachchi	C A Suriyaarachchi				
C-B-Rathnayake	C B Rathnayake				
C-V-Gunaratne	C V Gunaratne				
C-V-Vigneswaran	C V Vigneswaran				
Cader-Cader-Masthan	Cader Cader Masthan				
Caluwadevage-Nanda-Matthew	Caluwadevage Nanda Matthew				
Cassim-Faizal	Cassim Faizal				
Chamal-Rajapaksa	Chamal Rajapaksa				
Chamara-Sampath-Dassanayake	Chamara Sampath Dassanayake				
Chaminda-Lalith-Kumara	Chaminda Lalith Kumara				
Chaminda-Sampath	Chaminda Sampath				
Chaminda-Wijesiri	Chaminda Wijesiri				
Chamindrani-Kiriella	Chamindrani Kiriella				
Champika-Hettiarachchi	Champika Hettiarachchi				
Champika-Ranawaka	Champika Ranawaka				
Chanaka-Sampath-Madugoda	Chanaka Sampath Madugoda				
Chandana-Abayarathna	Chandana Abayarathna				
Chandana-Kathriarachchi	Chandana Kathriarachchi				
Chandana-Sooriyaarachchi	Chandana Sooriyaarachchi				
Chandana-Tennakoon	Chandana Tennakoon				
Chandima-Gamage	Chandima Gamage				
Chandima-Hettiaratchi	Chandima Hettiaratchi				
Chandima-Weerakkody	Chandima Weerakkody				
Chandra-Nehru-Chandrakanthan	Chandra Nehru Chandrakanthan				
Chandradasa-Ranatunga	Chandradasa Ranatunga				
Chandrani-Bandara-Jayasinghe	Chandrani Bandara Jayasinghe				
Chandrani-Bandara	Chandrani Bandara				
Chandrasekara-Gankande	Chandrasekara Gankande				
Chandrasena-Wijesinghe	Chandrasena Wijesinghe				
Chandrasiri-Gajadeera	Chandrasiri Gajadeera				
Chandrika-Kumaratunga	Chandrika Kumaratunga				
Channa-Jayasumana	Channa Jayasumana				
Charitha-Herath	Charitha Herath				
Charles-Nirmalanathan	Charles Nirmalanathan				
Chathura-Galappaththi	Chathura Galappaththi				
Chathura-Senarathne	Chathura Senarathne				
Chathuranga-Abeysinghe	Chathuranga Abeysinghe				
Chathuri-Gangani	Chathuri Gangani				
Chinthaka-Mayadunne	Chinthaka Mayadunne				
Chitra-Manthilake	Chitra Manthilake				
Chrishantha-Abeysena	Chrishantha Abeysena				
D-B-Herath	D B Herath				
D-D-W-Wickremarathne	D D W Wickremarathne				
D-E-W-Gunasekera	D E W Gunasekera				
D-M-Ariyadasa	D M Ariyadasa				
D-M-Ariyaratna	D M Ariyaratna				
D-M-Bandaranaike	D M Bandaranaike				
D-M-Dassanayake	D M Dassanayake				
D-M-G-Dissanayake	D M G Dissanayake				
D-M-Jayaratne	D M Jayaratne				
D-M-S-K-Dassanayake	D M S K Dassanayake				
D-M-Swaminathan	D M Swaminathan				
D-P-Wickremasinghe	D P Wickremasinghe				
D-S-S-Premaratne	D S S Premaratne				
D-Siddarthan	D Siddarthan				
D-Suriyabandara	D Suriyabandara				
D-V-Chanaka	D V Chanaka				
D-Weerasingha	D Weerasingha				
Daham-Wimalasena	Daham Wimalasena				
Dammika-Patabendi	Dammika Patabendi				
Daya-Gamage	Daya Gamage				
Dayasiri-Jayasekara	Dayasiri Jayasekara				
Dayasritha-Thissera	Dayasritha Thissera				
Deepal-Gunasekara	Deepal Gunasekara				
Deepthi-Wasalage	Deepthi Wasalage				
Dewananda-Suraweera	Dewananda Suraweera				
Dhammika-Perera	Dhammika Perera				
Dhanushka-Ranganath	Dhanushka Ranganath				
Dharmadasa-Banda	Dharmadasa Banda				
Dharmadewa-Jayasinghe	Dharmadewa Jayasinghe				
Dharmappriya-Wijesinghe	Dharmappriya Wijesinghe				
Dharmapriya-Dissanayake	Dharmapriya Dissanayake				
Dharmasiri-Senanayake	Dharmasiri Senanayake				
Diana-Gamage	Diana Gamage				
Dickson-Perera	Dickson Perera				
Dilan-Perera	Dilan Perera				
Dilip-Wedaarachchi	Dilip Wedaarachchi				
Dilum-Amunugama	Dilum Amunugama				
Dimuthu-Bandara-Abayakoon	Dimuthu Bandara Abayakoon				
Dinesh-Gunawardena	Dinesh Gunawardena				
Dinesh-Hemantha-Perera	Dinesh Hemantha Perera				
Dingiri-Banda-Wijetunga	Dingiri Banda Wijetunga				
Dinindu-Hennayake	Dinindu Hennayake				
Dixon-J-Perera	Dixon J Perera				
Don-Ranjith-Nanda-Kumarage	Don Ranjith Nanda Kumarage				
Douglas-Devananda	Douglas Devananda				
Duleep-Wijesekera	Duleep Wijesekera				
Dullas-Alahapperuma	Dullas Alahapperuma				
Duminda-Dissanayake	Duminda Dissanayake				
Duminda-Silva	Duminda Silva				
Dunesh-Gankanda	Dunesh Gankanda				
Dushmantha-Mithrapala	Dushmantha Mithrapala				
E-A-D-C-Weerasekera	E A D C Weerasekera				
E-M-Basnayaka	E M Basnayaka				
E-N-U-Fernando	E N U Fernando				
E-Saravanapavan	E Saravanapavan				
E-W-D-Don	E W D Don				
Earl-Gunasekara	Earl Gunasekara				
Ediriweera-Premaratne	Ediriweera Premaratne				
Ediriweera-Weerawardena	Ediriweera Weerawardena				
Edward-Gunasekara	Edward Gunasekara				
Eliyathamby-Pararasasingam	Eliyathamby Pararasasingam				
Eliyathamby-Ratnasabapathy	Eliyathamby Ratnasabapathy				
Ellawala-Medhananda-Thero	Ellawala Medhananda Thero				
Ellawala-Nalanda	Ellawala Nalanda				
Ellawala-Suranganie	Ellawala Suranganie				
Eran-Wickramaratne	Eran Wickramaratne				
Eranga-Gunasekara	Eranga Gunasekara				
Erik-Weerawardena	Erik Weerawardena				
Eugin-Alwis-Samarasinghe	Eugin Alwis Samarasinghe				
Evone-Sriyani-Fernando	Evone Sriyani Fernando				
Faiszer-Musthapha	Faiszer Musthapha				
Farook-Yoonus-Lebbe-Mohamed	Farook Yoonus Lebbe Mohamed				
Felix-Perera	Felix Perera				
Ferial-Ashraff	Ferial Ashraff				
Festus-Perera	Festus Perera				
G-Karunakaran	G Karunakaran				
G-L-Peiris	G L Peiris				
G-L-S-Gunawardena	G L S Gunawardena				
G-Sirinesan	G Sirinesan				
Gajendrakumar-Ponnambalam	Gajendrakumar Ponnambalam				
Gamagedara-Dissanayake	Gamagedara Dissanayake				
Gamini-Athukorala	Gamini Athukorala				
Gamini-Dissanayake	Gamini Dissanayake				
Gamini-Fonseka	Gamini Fonseka				
Gamini-Jayawickrama-Perera	Gamini Jayawickrama Perera				
Gamini-Lokuge	Gamini Lokuge				
Gamini-Rathnayake	Gamini Rathnayake				
Gamini-Vijith-Vijithamuni-Soysa	Gamini Vijith Vijithamuni Soysa				
Gamini-Waleboda	Gamini Waleboda				
Gammaddage-Ajantha	Gammaddage Ajantha				
Ganeshankari-Yogasangari	Ganeshankari Yogasangari				
Gayan-Janaka	Gayan Janaka				
Gayantha-Karunathilaka	Gayantha Karunathilaka				
Gayashan-Nawananda	Gayashan Nawananda				
Geetha-Herath	Geetha Herath				
Geetha-Kumarasinghe	Geetha Kumarasinghe				
Gevindu-Kumaratunga	Gevindu Kumaratunga				
Gitanjana-Gunawardena	Gitanjana Gunawardena				
Gnanamuththu-Krishnappillai	Gnanamuththu Krishnappillai				
Gopallawa-Moithra-Kuda-Banda	Gopallawa Moithra Kuda Banda				
Govinthan-Karunakaram	Govinthan Karunakaram				
Gunapala-Rathnasekara	Gunapala Rathnasekara				
Gunapala-Tissakutti-Arachchi	Gunapala Tissakutti Arachchi				
Gunaratna-Weerakoon	Gunaratna Weerakoon				
Gunasekara-Premaratne	Gunasekara Premaratne				
Gunathilaka-Rajapaksha	Gunathilaka Rajapaksha				
H-B-Semasinghe	H B Semasinghe				
H-C-de-Silva	H C de Silva				
H-G-P-Nelson	H G P Nelson				
H-M-A-L-Banda	H M A L Banda				
H-M-Dharmasena	H M Dharmasena				
H-M-M-Harees	H M M Harees				
H-M-N-Herath	H M N Herath				
H-M-Piyal-Nishantha-de-Silva	H M Piyal Nishantha de Silva				
H-M-Wasantha-Samarasinghe	H M Wasantha Samarasinghe				
H-M-Weerasinghe	H M Weerasinghe				
H-R-Mithrapala	H R Mithrapala				
H-R-Piyasiri	H R Piyasiri				
H-R-Wimalasiri	H R Wimalasiri				
Hansaka-Wijemuni	Hansaka Wijemuni				
Harin-Fernando	Harin Fernando				
Harindra-Corea	Harindra Corea				
Harindra-Jayanthi-Corea	Harindra Jayanthi Corea				
Harini-Amarasuriya	Harini Amarasuriya				
Harold-Herath	Harold Herath				
Harsha-de-Silva	Harsha de Silva				
Harshana-Nanayakkara	Harshana Nanayakkara				
Harshana-Rajakaruna	Harshana Rajakaruna				
Hasen-Ali	Hasen Ali				
Hector-Appuhamy	Hector Appuhamy				
Hema-Ratnayake	Hema Ratnayake				
Hemakumara-Nanayakkara	Hemakumara Nanayakkara				
Hemal-Gunasekara	Hemal Gunasekara				
Hemali-Weerasekara	Hemali Weerasekara				
Herath-Herald-James-Edward	Herath Herald James Edward				
Hesha-Withanage	Hesha Withanage				
Hewagampolage-Sirisena	Hewagampolage Sirisena				
Hiniduma-Sunil-Senvi	Hiniduma Sunil Senvi				
Hiruni-Wijesinghe	Hiruni Wijesinghe				
Hirunika-Premachandra	Hirunika Premachandra				
Hunais-Farook	Hunais Farook				
Hussain-Ahamed-Bhaila	Hussain Ahamed Bhaila				
I-M-P-P-Perera	I M P P Perera				
Ilaiyathambi-Srinath	Ilaiyathambi Srinath				
Imithiyas-Bakeer-Makar	Imithiyas Bakeer Makar				
Imran-Maharoof	Imran Maharoof				
Indika-Anuruddha	Indika Anuruddha				
Indika-Bandaranaike	Indika Bandaranaike				
Indika-Gunawardena	Indika Gunawardena				
Indradasa-Hettiarachchi	Indradasa Hettiarachchi				
Innasimuthu-Alfred	Innasimuthu Alfred				
Irasa-Kuganeswaran	Irasa Kuganeswaran				
Ishak-Rahuman	Ishak Rahuman				
Ismail-Mohammed-Quddus	Ismail Mohammed Quddus				
Isuru-Dodangoda	Isuru Dodangoda				
J-A-Mary-Lucida	J A Mary Lucida				
J-C-Alawathuwala	J C Alawathuwala				
J-M-D-Dissanayake	J M D Dissanayake				
J-N-M-Koralage	J N M Koralage				
J-P-V-Vipulaguna	J P V Vipulaguna				
J-R-P-Suriyapperuma	J R P Suriyapperuma				
J-S-K-Ranawaka	J S K Ranawaka				
Jagath-Balasuriya	Jagath Balasuriya				
Jagath-Gunawardena	Jagath Gunawardena				
Jagath-Kumara	Jagath Kumara				
Jagath-Manuwarna	Jagath Manuwarna				
Jagath-Priyankara	Jagath Priyankara				
Jagath-Samarawickrama	Jagath Samarawickrama				
Jagath-Vithana	Jagath Vithana				
Jagath-Wickremerathna	Jagath Wickremerathna				
Janadasa-Peiris	Janadasa Peiris				
Janak-Mahendra-Adhikari	Janak Mahendra Adhikari				
Janaka-Bandara-Priyantha	Janaka Bandara Priyantha				
Janaka-Bandara-Tennakoon	Janaka Bandara Tennakoon				
Janaka-Senarathna	Janaka Senarathna				
Janaka-Thissakuttiarachchi	Janaka Thissakuttiarachchi				
Janaka-Wakkumbura	Janaka Wakkumbura				
Janath-Chithral-Fernando	Janath Chithral Fernando				
Jayalath-Jayawardana	Jayalath Jayawardana				
Jayampathy-Wickramaratne	Jayampathy Wickramaratne				
Jayantha-Jayaweera	Jayantha Jayaweera				
Jayantha-Katugoda	Jayantha Katugoda				
Jayantha-Samaraweera	Jayantha Samaraweera				
Jayantha-Weerasinghe	Jayantha Weerasinghe				
Jayantha-Wijesekara	Jayantha Wijesekara				
Jayarathna-Herath	Jayarathna Herath				
Jayaratne-Silva-Dedimuni-Robert	Jayaratne Silva Dedimuni Robert				
Jayasinghe-Bandara	Jayasinghe Bandara				
Jayasundara-Wijekoon	Jayasundara Wijekoon				
Jayathilaka-Podinilame	Jayathilaka Podinilame				
Jayatissa-Ranaweera	Jayatissa Ranaweera				
Jeevan-Thondaman	Jeevan Thondaman				
Jeewan-Kumaranatunga	Jeewan Kumaranatunga				
Jeyaraj-Fernandopulle	Jeyaraj Fernandopulle				
Jeyaratnam-Thiviya-Nadan	Jeyaratnam Thiviya Nadan				
Jinadasa-Kitulagoda	Jinadasa Kitulagoda				
John-Amaratunga	John Amaratunga				
John-Senewiratne	John Senewiratne				
Johnston-Fernando	Johnston Fernando				
Joseph-George-Rajenthiram	Joseph George Rajenthiram				
Joseph-Michael-Perera	Joseph Michael Perera				
Joseph-Pararajasingham	Joseph Pararajasingham				
Justin-Galappaththi	Justin Galappaththi				
K-A-N-Gunasinghe	K A N Gunasinghe				
K-A-W-K-Arachchi	K A W K Arachchi				
K-D-Lalkantha	K D Lalkantha				
K-D-U-Gunaratne	K D U Gunaratne				
K-G-J-Fernando	K G J Fernando				
K-H-G-N-Padmasiri	K H G N Padmasiri				
K-H-Nandasena	K H Nandasena				
K-K-Piyadasa	K K Piyadasa				
K-Kader-Masthan	K Kader Masthan				
K-Kanakaraj	K Kanakaraj				
K-Kodeeswaran	K Kodeeswaran				
K-M-Nimal-Herath	K M Nimal Herath				
K-M-Thowfeek	K M Thowfeek				
K-N-Choksy	K N Choksy				
K-P-S-Kumarasiri	K P S Kumarasiri				
K-S-Kugathasan	K S Kugathasan				
K-Thurairetnasingam	K Thurairetnasingam				
K-V-Kugendran	K V Kugendran				
K-V-Samantha-Vidyaratna	K V Samantha Vidyaratna				
K-Velayudam	K Velayudam				
K-W-Shantha-Bandara	K W Shantha Bandara				
Kabir-Hashim	Kabir Hashim				
Kahaluwe-Ratnaseeha	Kahaluwe Ratnaseeha				
Kalinga-Obeywansa	Kalinga Obeywansa				
Kamal-Karunanayake	Kamal Karunanayake				
Kamala-Ranatunga	Kamala Ranatunga				
Kanagasabai-Pathmanathan	Kanagasabai Pathmanathan				
Kanaka-Herath	Kanaka Herath				
Kanapathy-Selvanayagam	Kanapathy Selvanayagam				
Kanchana-Welipitiya	Kanchana Welipitiya				
Kanchana-Wijesekera	Kanchana Wijesekera				
Kandasami-Prabhu	Kandasami Prabhu				
Kandiah-Navaratnam	Kandiah Navaratnam				
Kandiah-Sangaran	Kandiah Sangaran				
Kapila-Nuwan-Athukorala	Kapila Nuwan Athukorala				
Karu-Jayasuriya	Karu Jayasuriya				
Karu-Paranawithana	Karu Paranawithana				
Karunadasa-Kodithuwakku	Karunadasa Kodithuwakku				
Karunananthan-Ilankumaran	Karunananthan Ilankumaran				
Karunasena-Kodituwakku	Karunasena Kodituwakku				
Karupaiyah-Velayutham	Karupaiyah Velayutham				
Kasadoruge-Vincent-Perera	Kasadoruge Vincent Perera				
Kathiravelu-Sanmugam-Kuhadasan	Kathiravelu Sanmugam Kuhadasan				
Kaushalya-Ariyarathne	Kaushalya Ariyarathne				
Kavinda-Jayawardena	Kavinda Jayawardena				
Keerthi-Suranjith-Mawellage	Keerthi Suranjith Mawellage				
Keheliya-Rambukwella	Keheliya Rambukwella				
Kiddinan-Sivanesan	Kiddinan Sivanesan				
Kingsley-Rajanayagam	Kingsley Rajanayagam				
Kingsly-Tissa-Wickramarathne	Kingsly Tissa Wickramarathne				
Kins-Nelson	Kins Nelson				
Kiri-Banda-Ratnayake	Kiri Banda Ratnayake				
Kitnan-Selvaraj	Kitnan Selvaraj				
Kokila-Gunawardena	Kokila Gunawardena				
Kolonnawe-Sri-Sumangala	Kolonnawe Sri Sumangala				
Konamalai-Mathavarajah	Konamalai Mathavarajah				
Kosala-Jayaweera	Kosala Jayaweera				
Kotapola-Amarakitti	Kotapola Amarakitti				
Krishnan-Kaleichelvi	Krishnan Kaleichelvi				
Krishnapillai-Thurairasasingham	Krishnapillai Thurairasasingham				
Kulasingam-Thileepan	Kulasingam Thileepan				
Kumara-Welgama	Kumara Welgama				
Kumarasiri-Rathnayake	Kumarasiri Rathnayake				
Kumari-Tennakoon	Kumari Tennakoon				
L-A-Wijemanne	L A Wijemanne				
L-G-Wasantha-Piyatissa	L G Wasantha Piyatissa				
L-M-Abeywickrama	L M Abeywickrama				
Lakshman-Jayakody	Lakshman Jayakody				
Lakshman-Kadirgamar	Lakshman Kadirgamar				
Lakshman-Kiriella	Lakshman Kiriella				
Lakshman-Nipuna-Arachchi	Lakshman Nipuna Arachchi				
Lakshman-Senewiratne	Lakshman Senewiratne				
Lakshman-Wasantha-Perera	Lakshman Wasantha Perera				
Lakshman-Yapa-Abeywardena	Lakshman Yapa Abeywardena				
Lal-Chamika-Buddhadasa	Lal Chamika Buddhadasa				
Lal-Dharmapriya-Gamage	Lal Dharmapriya Gamage				
Lal-Gamage	Lal Gamage				
Lal-Premanath	Lal Premanath				
Lalith-Athulathmudali	Lalith Athulathmudali				
Lalith-Dissanayake	Lalith Dissanayake				
Lalith-Ellawala	Lalith Ellawala				
Lalith-Varna-Kumara	Lalith Varna Kumara				
Larine-Perera	Larine Perera				
Lasantha-Alagiyawanna	Lasantha Alagiyawanna				
Lasith-Bashana	Lasith Bashana				
Leslie-Gunawardana	Leslie Gunawardana				
Lilantha-Perera	Lilantha Perera				
Lionel-Premasiri	Lionel Premasiri				
Lionel-Rajapaksa	Lionel Rajapaksa				
Lohan-Ratwatte	Lohan Ratwatte				
Lucky-Jayawardena	Lucky Jayawardena				
M-A-Ghafoor-Zafarullah	M A Ghafoor Zafarullah				
M-A-M-Maharoof	M A M Maharoof				
M-A-Sumanthiran	M A Sumanthiran				
M-D-Namal-Karunaratne	M D Namal Karunaratne				
M-G-Weerasena	M G Weerasena				
M-H-A-Haleem	M H A Haleem				
M-H-Amit	M H Amit				
M-H-M-Ashraff	M H M Ashraff				
M-H-M-Navavi	M H M Navavi				
M-H-M-Salman	M H M Salman				
M-H-Mohamed	M H Mohamed				
M-H-Segu-Isadean	M H Segu Isadean				
M-I-M-Mansoor	M I M Mansoor				
M-K-A-D-S-Gunawardana	M K A D S Gunawardana				
M-K-Eelaventhan	M K Eelaventhan				
M-K-Shivajilingam	M K Shivajilingam				
M-L-A-M-Hisbullah	M L A M Hisbullah				
M-L-M-Aboosally	M L M Aboosally				
M-M-M-J-Cooray	M M M J Cooray				
M-M-M-Musthaffa	M M M Musthaffa				
M-M-S-Karunaratne	M M S Karunaratne				
M-M-Thahir	M M Thahir				
M-Mohamed-Musthaffa	M Mohamed Musthaffa				
M-N-Abdul-Majeed	M N Abdul Majeed				
M-Rameshwaran	M Rameshwaran				
M-S-M-Aslam	M S M Aslam				
M-S-Sellasamy	M S Sellasamy				
M-S-Thowfeek	M S Thowfeek				
M-S-Wijeyeratne	M S Wijeyeratne				
M-Thilakarajah	M Thilakarajah				
M-Udayakumar	M Udayakumar				
M-Velu-Kumar	M Velu Kumar				
Madduma-Bandara-Sethapenage-Appuhamy-Ralalage	Madduma Bandara Sethapenage Appuhamy Ralalage				
Maddumage-Samson-Silva	Maddumage Samson Silva				
Madhura-Senevirathna	Madhura Senevirathna				
Madhura-Withanage	Madhura Withanage				
Madurapala-Ediriweera	Madurapala Ediriweera				
Mahammadu-Aslam	Mahammadu Aslam				
Maheepala-Herath	Maheepala Herath				
Mahen-Gunasekera	Mahen Gunasekera				
Mahinda-Amaraweera	Mahinda Amaraweera				
Mahinda-Jayasinghe	Mahinda Jayasinghe				
Mahinda-Rajapaksa	Mahinda Rajapaksa				
Mahinda-Ratnatilaka	Mahinda Ratnatilaka				
Mahinda-Samarasinghe	Mahinda Samarasinghe				
Mahinda-Wijesekara	Mahinda Wijesekara				
Mahinda-Yapa-Abeywardena	Mahinda Yapa Abeywardena				
Mahindananda-Aluthgamage	Mahindananda Aluthgamage				
Maithripala-Senanayake	Maithripala Senanayake				
Maithripala-Sirisena	Maithripala Sirisena				
Malik-Samarawickrama	Malik Samarawickrama				
Malini-Fonseka	Malini Fonseka				
Malith-Jayathilake	Malith Jayathilake				
Mallika-de-Mel	Mallika de Mel				
Malwattage-Nimal-Ransiri-Peiris	Malwattage Nimal Ransiri Peiris				
Mangala-Moonesinghe	Mangala Moonesinghe				
Mangala-Samaraweera	Mangala Samaraweera				
Manjula-Dissanayake	Manjula Dissanayake				
